y,ds
36.099998,2016-03-21
35.209999,2016-03-18
34.549999,2016-03-17
34.080002,2016-03-16
33.459999,2016-03-15
34.09,2016-03-14
33.860001,2016-03-11
33.599998,2016-03-10
33.52,2016-03-09
33.82,2016-03-08
34.380001,2016-03-07
33.93,2016-03-04
33.209999,2016-03-03
33.240002,2016-03-02
32.849998,2016-03-01
32.459999,2016-02-29
31.9,2016-02-26
31.360001,2016-02-25
31.120001,2016-02-24
31.379999,2016-02-23
31.209999,2016-02-22
30.23,2016-02-19
30.139999,2016-02-18
29.66,2016-02-17
29.440001,2016-02-16
27.32,2016-02-12
26.969999,2016-02-11
27.809999,2016-02-10
27.690001,2016-02-09
27.969999,2016-02-08
29.139999,2016-02-05
29.23,2016-02-04
28.610001,2016-02-03
30.23,2016-02-02
29.790001,2016-02-01
29.51,2016-01-29
30.629999,2016-01-28
30.530001,2016-01-27
30.190001,2016-01-26
30.389999,2016-01-25
30.52,2016-01-22
29.799999,2016-01-21
29.110001,2016-01-20
30,2016-01-19
29.77,2016-01-15
30.57,2016-01-14
31.17,2016-01-13
30.969999,2016-01-12
30.75,2016-01-11
31.540001,2016-01-08
31.190001,2016-01-07
32.459999,2016-01-06
32.330002,2016-01-05
32.349998,2016-01-04
64.279999,2017-03-03
64.75,2017-03-02
64.989998,2017-03-01
64.199997,2017-02-28
64.540001,2017-02-27
64.800003,2017-02-24
64.730003,2017-02-23
64.389999,2017-02-22
64.949997,2017-02-21
64.690002,2017-02-17
65.239998,2017-02-16
64.57,2017-02-15
64.720001,2017-02-14
64.860001,2017-02-13
64.300003,2017-02-10
64.440002,2017-02-09
63.810001,2017-02-08
63.779999,2017-02-07
63.650002,2017-02-06
63.700001,2017-02-03
63.41,2017-02-02
64.620003,2017-02-01
65.150002,2017-01-31
65.790001,2017-01-30
65.910004,2017-01-27
64.540001,2017-01-26
64.099998,2017-01-25
63.740002,2017-01-24
63.119999,2017-01-23
62.82,2017-01-20
62.98,2017-01-19
62.700001,2017-01-18
62.700001,2017-01-17
62.869999,2017-01-13
63.400002,2017-01-12
63.23,2017-01-11
63.07,2017-01-10
63.080002,2017-01-09
63.150002,2017-01-06
62.66,2017-01-05
62.75,2017-01-04
62.84,2017-01-03
62.990002,2016-12-30
63.200001,2016-12-29
63.400002,2016-12-28
64.07,2016-12-27
63.540001,2016-12-23
64.099998,2016-12-22
63.700001,2016-12-21
63.799999,2016-12-20
63.77,2016-12-19
62.950001,2016-12-16
63.150002,2016-12-15
63.450001,2016-12-14
63.419998,2016-12-13
62.299999,2016-12-12
61.990002,2016-12-09
61.580002,2016-12-08
61.380001,2016-12-07
60.459999,2016-12-06
60.59,2016-12-05
59.470001,2016-12-02
60.150002,2016-12-01
61.18,2016-11-30
61.41,2016-11-29
61.02,2016-11-28
60.529999,2016-11-25
61.099998,2016-11-23
61.259998,2016-11-22
60.970001,2016-11-21
61.139999,2016-11-18
60.950001,2016-11-17
59.66,2016-11-16
59.490002,2016-11-15
